scaffold position lg old_lg distance_min distance_max
HiC_scaffold_31 15575079 31 11 50 50
HiC_scaffold_31 15575446 31 11 50 50
HiC_scaffold_20 7280497 20 12 0 0
HiC_scaffold_20 7276469 20 12 0 0
HiC_scaffold_20 8427425 20 12 1 1
HiC_scaffold_20 8483668 20 12 0 1
HiC_scaffold_20 8651040 20 12 3 3
HiC_scaffold_20 8907473 20 12 3 5
HiC_scaffold_20 8907473 20 12 3 5
HiC_scaffold_20 9860272 20 12 12 19
HiC_scaffold_20 9952258 20 12 12 16
HiC_scaffold_20 9952286 20 12 12 16
HiC_scaffold_20 11397242 20 12 12 16
HiC_scaffold_20 11685170 20 12 12 19
HiC_scaffold_20 11649084 20 12 15 19
HiC_scaffold_20 11649265 20 12 15 19
HiC_scaffold_20 11685396 20 12 15 19
HiC_scaffold_20 12947254 20 12 22 22
HiC_scaffold_20 12572655 20 12 22 22
HiC_scaffold_20 12205015 20 12 22 22
HiC_scaffold_20 13057988 20 12 24 24
HiC_scaffold_20 13885188 20 12 24 25
HiC_scaffold_20 13564786 20 12 24 25
HiC_scaffold_20 13884957 20 12 24 25
HiC_scaffold_20 5780187 20 12 27 29
HiC_scaffold_20 14598527 20 12 27 27
HiC_scaffold_20 5833357 20 12 27 30
HiC_scaffold_144 30406 20 12 24 27
HiC_scaffold_20 14705182 20 12 27 27
HiC_scaffold_20 14873077 20 12 27 27
HiC_scaffold_20 14598527 20 12 27 27
HiC_scaffold_20 14872876 20 12 27 27
HiC_scaffold_20 15439483 20 12 27 27
HiC_scaffold_20 15545922 20 12 27 27
HiC_scaffold_20 5833118 20 12 27 30
HiC_scaffold_20 15029442 20 12 27 27
HiC_scaffold_20 2267346 20 12 29 29
HiC_scaffold_20 4257552 20 12 29 30
HiC_scaffold_20 5556787 20 12 29 30
HiC_scaffold_20 2118905 20 12 29 36
HiC_scaffold_20 4128769 20 12 29 30
HiC_scaffold_20 5199364 20 12 29 30
HiC_scaffold_20 5202016 20 12 29 30
HiC_scaffold_20 5199364 20 12 29 30
HiC_scaffold_20 1815936 20 12 29 31
HiC_scaffold_20 4726486 20 12 29 30
HiC_scaffold_20 5564942 20 12 29 30
HiC_scaffold_20 5565220 20 12 29 30
HiC_scaffold_20 2577276 20 12 31 36
HiC_scaffold_20 2193667 20 12 31 31
HiC_scaffold_20 5491315 20 12 29 36
HiC_scaffold_20 3189189 20 12 31 31
HiC_scaffold_20 2205575 20 12 31 31
HiC_scaffold_20 2996273 20 12 31 36
HiC_scaffold_20 2193690 20 12 31 31
HiC_scaffold_20 1645741 20 12 36 36
HiC_scaffold_20 932711 20 12 36 36
HiC_scaffold_20 461759 20 12 37 37
HiC_scaffold_20 263748 20 12 37 38
HiC_scaffold_20 263856 20 12 37 38
HiC_scaffold_20 126804 20 12 39 41
HiC_scaffold_20 126804 20 12 39 41
HiC_scaffold_29 15617198 29 13 0 0
HiC_scaffold_29 15178998 29 13 0 1
HiC_scaffold_29 14895937 29 13 0 1
HiC_scaffold_29 15451847 29 13 0 3
HiC_scaffold_29 14968631 29 13 0 1
HiC_scaffold_29 15451897 29 13 0 1
HiC_scaffold_29 14567051 29 13 0 1
HiC_scaffold_29 14309435 29 13 2 2
HiC_scaffold_29 13528800 29 13 2 3
HiC_scaffold_29 9485805 29 13 0 2
HiC_scaffold_29 14309577 29 13 2 2
HiC_scaffold_29 13529100 29 13 0 3
HiC_scaffold_29 13471629 29 13 3 3
HiC_scaffold_29 13127068 29 13 3 3
HiC_scaffold_29 13127068 29 13 3 3
HiC_scaffold_29 12889112 29 13 4 4
HiC_scaffold_29 12549266 29 13 4 4
HiC_scaffold_29 12889112 29 13 4 4
HiC_scaffold_29 12548997 29 13 4 4
HiC_scaffold_29 11961470 29 13 6 6
HiC_scaffold_29 11872529 29 13 6 6
HiC_scaffold_29 11872762 29 13 6 6
HiC_scaffold_29 11961580 29 13 6 6
HiC_scaffold_29 9659263 29 13 8 8
HiC_scaffold_29 8924902 29 13 8 9
HiC_scaffold_29 9485634 29 13 8 9
HiC_scaffold_29 8997547 29 13 8 9
HiC_scaffold_29 9796960 29 13 9 9
HiC_scaffold_29 8585391 29 13 11 14
HiC_scaffold_29 8407264 29 13 11 13
HiC_scaffold_29 8544469 29 13 11 13
HiC_scaffold_216 310530 29 13 13 14
HiC_scaffold_29 7075586 29 13 14 18
HiC_scaffold_29 7142030 29 13 14 18
HiC_scaffold_29 7142288 29 13 14 18
HiC_scaffold_29 6358466 29 13 21 21
HiC_scaffold_29 5453527 29 13 21 24
HiC_scaffold_29 4772454 29 13 24 25
HiC_scaffold_29 5098958 29 13 24 25
HiC_scaffold_29 4568888 29 13 24 25
HiC_scaffold_29 5135896 29 13 24 25
HiC_scaffold_29 5098958 29 13 24 25
HiC_scaffold_29 3460731 29 13 30 33
HiC_scaffold_29 3888252 29 13 30 31
HiC_scaffold_29 3888253 29 13 31 36
HiC_scaffold_29 3325560 29 13 31 36
HiC_scaffold_29 3325314 29 13 30 36
HiC_scaffold_29 2531153 29 13 36 40
HiC_scaffold_29 1953861 29 13 40 41
HiC_scaffold_29 2090949 29 13 41 44
HiC_scaffold_29 2236559 29 13 41 44
HiC_scaffold_29 1809271 29 13 40 44
HiC_scaffold_29 2236691 29 13 41 44
HiC_scaffold_29 2091041 29 13 41 44
HiC_scaffold_29 2266592 29 13 44 44
HiC_scaffold_29 876384 29 13 48 48
HiC_scaffold_29 780008 29 13 48 48
HiC_scaffold_29 1034259 29 13 48 48
HiC_scaffold_29 605967 29 13 48 48
HiC_scaffold_29 780008 29 13 48 48
HiC_scaffold_29 605967 29 13 48 48
HiC_scaffold_29 876128 29 13 48 48
HiC_scaffold_29 160852 29 13 49 49
HiC_scaffold_29 160813 29 13 49 49
HiC_scaffold_23 1019991 23 14 0 0
HiC_scaffold_23 386075 23 14 0 1
HiC_scaffold_23 818874 23 14 1 4
HiC_scaffold_23 698470 23 14 1 4
HiC_scaffold_23 698470 23 14 1 4
HiC_scaffold_23 1531987 23 14 12 12
HiC_scaffold_23 1430051 23 14 12 12
HiC_scaffold_23 1957222 23 14 15 16
HiC_scaffold_23 2273245 23 14 15 16
HiC_scaffold_23 2728051 23 14 15 15
HiC_scaffold_23 2025647 23 14 16 16
HiC_scaffold_23 3215920 23 14 16 23
HiC_scaffold_23 2428202 23 14 16 19
HiC_scaffold_23 3215734 23 14 21 21
HiC_scaffold_23 3582606 23 14 21 23
HiC_scaffold_23 3582931 23 14 21 23
HiC_scaffold_23 3582549 23 14 21 23
HiC_scaffold_23 3548058 23 14 21 23
HiC_scaffold_23 3445901 23 14 21 23
HiC_scaffold_23 3582950 23 14 21 23
HiC_scaffold_23 4385888 23 14 23 24
HiC_scaffold_23 4912017 23 14 24 27
HiC_scaffold_23 4400981 23 14 23 27
HiC_scaffold_23 6017044 23 14 27 36
HiC_scaffold_23 5286502 23 14 27 33
HiC_scaffold_23 5977255 23 14 34 36
HiC_scaffold_23 5843222 23 14 34 36
HiC_scaffold_23 5854985 23 14 34 36
HiC_scaffold_23 7309599 23 14 36 38
HiC_scaffold_23 5141703 23 14 27 46
HiC_scaffold_23 8320981 23 14 38 41
HiC_scaffold_23 9307451 23 14 36 41
HiC_scaffold_23 9348747 23 14 38 45
HiC_scaffold_23 7597351 23 14 38 41
HiC_scaffold_23 8626025 23 14 38 43
HiC_scaffold_23 8320981 23 14 38 41
HiC_scaffold_23 8201948 23 14 43 43
HiC_scaffold_23 8625758 23 14 38 46
HiC_scaffold_23 7935689 23 14 43 43
HiC_scaffold_23 9817171 23 14 45 45
HiC_scaffold_23 9389167 23 14 45 45
HiC_scaffold_23 10278193 23 14 45 46
HiC_scaffold_23 11967590 23 14 46 51
HiC_scaffold_23 9307155 23 14 45 46
HiC_scaffold_23 12239765 23 14 50 50
HiC_scaffold_23 13099662 23 14 50 51
HiC_scaffold_23 12674509 23 14 50 51
HiC_scaffold_23 13109402 23 14 52 52
HiC_scaffold_26 12594377 26 15 0 0
HiC_scaffold_26 12594377 26 15 0 0
HiC_scaffold_26 12594065 26 15 2 2
HiC_scaffold_26 12333490 26 15 2 2
HiC_scaffold_26 12643381 26 15 4 4
HiC_scaffold_26 12643749 26 15 4 4
HiC_scaffold_26 11808021 26 15 9 9
HiC_scaffold_26 13688442 26 15 9 10
HiC_scaffold_26 13737957 26 15 9 10
HiC_scaffold_26 13791915 26 15 9 12
HiC_scaffold_26 14844816 26 15 12 12
HiC_scaffold_26 14547391 26 15 12 12
HiC_scaffold_26 9444672 26 15 15 15
HiC_scaffold_26 10070442 26 15 15 17
HiC_scaffold_26 10833388 26 15 15 18
HiC_scaffold_26 10405032 26 15 16 18
HiC_scaffold_26 9444793 26 15 15 18
HiC_scaffold_26 9560945 26 15 18 18
HiC_scaffold_26 8796609 26 15 22 23
HiC_scaffold_26 8934376 26 15 22 22
HiC_scaffold_26 8934582 26 15 23 23
HiC_scaffold_26 9335987 26 15 22 23
HiC_scaffold_26 8224431 26 15 24 26
HiC_scaffold_26 7928558 26 15 24 27
HiC_scaffold_26 7205377 26 15 24 27
HiC_scaffold_26 7398213 26 15 24 27
HiC_scaffold_26 6015170 26 15 29 29
HiC_scaffold_26 6167892 26 15 29 29
HiC_scaffold_26 6658832 26 15 29 29
HiC_scaffold_26 5757811 26 15 31 31
HiC_scaffold_26 1264167 26 15 31 33
HiC_scaffold_26 1263933 26 15 31 33
HiC_scaffold_26 932621 26 15 33 35
HiC_scaffold_26 172874 26 15 33 34
HiC_scaffold_26 808815 26 15 31 35
HiC_scaffold_26 143915 26 15 35 35
HiC_scaffold_26 144334 26 15 35 35
HiC_scaffold_26 5171305 26 15 35 35
HiC_scaffold_26 172963 26 15 35 35
HiC_scaffold_26 831684 26 15 35 35
HiC_scaffold_26 831469 26 15 35 35
HiC_scaffold_26 5010880 26 15 37 37
HiC_scaffold_26 4910357 26 15 37 37
HiC_scaffold_26 5033469 26 15 37 37
HiC_scaffold_26 4849994 26 15 37 42
HiC_scaffold_26 5014134 26 15 37 37
HiC_scaffold_26 4545815 26 15 38 38
HiC_scaffold_26 4545815 26 15 38 38
HiC_scaffold_26 4162729 26 15 42 42
HiC_scaffold_26 3567875 26 15 42 45
HiC_scaffold_26 3720432 26 15 45 46
HiC_scaffold_26 1841308 26 15 46 51
HiC_scaffold_26 1355209 26 15 49 51
HiC_scaffold_26 1354871 26 15 50 51
HiC_scaffold_5 2672459 5 16 0 0
HiC_scaffold_5 983988 5 16 0 3
HiC_scaffold_5 535707 5 16 0 3
HiC_scaffold_5 507610 5 16 0 4
HiC_scaffold_5 507441 5 16 0 4
HiC_scaffold_5 983988 5 16 0 3
HiC_scaffold_5 513102 5 16 4 4
HiC_scaffold_5 1504331 5 16 4 7
HiC_scaffold_5 2682726 5 16 4 7
HiC_scaffold_5 1723200 5 16 4 7
HiC_scaffold_5 2682726 5 16 4 7
HiC_scaffold_5 2023366 5 16 4 7
HiC_scaffold_5 2937161 5 16 7 8
HiC_scaffold_5 3005998 5 16 8 9
HiC_scaffold_5 3541229 5 16 9 13
HiC_scaffold_5 3194882 5 16 9 12
HiC_scaffold_5 1354855 5 16 13 13
HiC_scaffold_5 3541229 5 16 9 13
HiC_scaffold_5 4519450 5 16 20 20
HiC_scaffold_5 4205619 5 16 20 20
HiC_scaffold_5 4092044 5 16 20 20
HiC_scaffold_5 4165731 5 16 20 20
HiC_scaffold_5 4165742 5 16 20 20
HiC_scaffold_5 4698825 5 16 23 23
HiC_scaffold_5 5803019 5 16 23 25
HiC_scaffold_5 5554843 5 16 23 25
HiC_scaffold_5 5554960 5 16 23 26
HiC_scaffold_5 4650741 5 16 23 25
HiC_scaffold_5 5147592 5 16 26 26
HiC_scaffold_5 6741016 5 16 26 28
HiC_scaffold_5 6807998 5 16 26 28
HiC_scaffold_5 6741233 5 16 26 28
HiC_scaffold_5 6653158 5 16 26 28
HiC_scaffold_5 8750157 5 16 29 29
HiC_scaffold_5 6871826 5 16 26 29
HiC_scaffold_5 8062604 5 16 29 29
HiC_scaffold_5 8062878 5 16 29 29
HiC_scaffold_5 8750319 5 16 30 30
HiC_scaffold_5 8070262 5 16 29 30
HiC_scaffold_5 10021200 5 16 30 33
HiC_scaffold_5 8070024 5 16 29 33
HiC_scaffold_5 8715792 5 16 30 30
HiC_scaffold_5 9131706 5 16 29 33
HiC_scaffold_5 8715792 5 16 30 30
HiC_scaffold_5 9964467 5 16 33 33
HiC_scaffold_5 10873961 5 16 33 39
HiC_scaffold_5 11240709 5 16 33 39
HiC_scaffold_5 11258061 5 16 33 39
HiC_scaffold_5 11267519 5 16 33 39
HiC_scaffold_5 11240904 5 16 33 39
HiC_scaffold_5 11473016 5 16 33 39
HiC_scaffold_5 13197210 5 16 39 44
HiC_scaffold_5 15924097 5 16 39 48
HiC_scaffold_5 12062274 5 16 39 41
HiC_scaffold_5 12755868 5 16 42 44
HiC_scaffold_5 14547284 5 16 39 46
HiC_scaffold_5 12756108 5 16 42 44
HiC_scaffold_5 12755868 5 16 42 44
HiC_scaffold_5 13334833 5 16 39 44
HiC_scaffold_5 13469435 5 16 42 47
HiC_scaffold_5 14027766 5 16 44 44
HiC_scaffold_5 14139840 5 16 46 46
HiC_scaffold_5 14547503 5 16 46 46
HiC_scaffold_5 14139840 5 16 46 46
HiC_scaffold_5 15923742 5 16 47 47
HiC_scaffold_5 15923512 5 16 47 48
HiC_scaffold_5 15255439 5 16 47 47
HiC_scaffold_5 14744884 5 16 47 47
HiC_scaffold_5 15943761 5 16 48 48
HiC_scaffold_27 11720446 27 17 0 0
HiC_scaffold_27 11640783 27 17 0 1
HiC_scaffold_27 11554334 27 17 0 1
HiC_scaffold_27 12166958 27 17 4 4
HiC_scaffold_27 13040953 27 17 4 6
HiC_scaffold_27 13073052 27 17 4 6
HiC_scaffold_27 13503492 27 17 4 6
HiC_scaffold_27 13550021 27 17 9 11
HiC_scaffold_27 13597897 27 17 9 11
HiC_scaffold_27 10864595 27 17 11 14
HiC_scaffold_27 8151499 27 17 14 20
HiC_scaffold_27 9143941 27 17 14 20
HiC_scaffold_27 7205094 27 17 20 21
HiC_scaffold_27 5203812 27 17 21 30
HiC_scaffold_27 7360370 27 17 21 24
HiC_scaffold_27 5366724 27 17 21 22
HiC_scaffold_27 6670910 27 17 21 23
HiC_scaffold_27 7391192 27 17 21 23
HiC_scaffold_27 6285082 27 17 21 23
HiC_scaffold_27 6670988 27 17 21 23
HiC_scaffold_27 7509293 27 17 21 23
HiC_scaffold_27 7360026 27 17 21 23
HiC_scaffold_27 6779843 27 17 21 23
HiC_scaffold_27 6847145 27 17 20 23
HiC_scaffold_27 5998401 27 17 21 23
HiC_scaffold_27 7830093 27 17 21 23
HiC_scaffold_27 6285414 27 17 21 23
HiC_scaffold_27 7830355 27 17 21 23
HiC_scaffold_27 6847374 27 17 24 24
HiC_scaffold_27 6844347 27 17 24 24
HiC_scaffold_27 5140711 27 17 30 30
HiC_scaffold_27 712405 27 17 39 39
HiC_scaffold_27 3149534 27 17 33 35
HiC_scaffold_27 3149783 27 17 34 35
HiC_scaffold_27 2838384 27 17 35 37
HiC_scaffold_27 2191727 27 17 37 39
HiC_scaffold_15 14394822 15 18 0 0
HiC_scaffold_15 14394776 15 18 0 2
HiC_scaffold_15 14195723 15 18 2 5
HiC_scaffold_15 12599416 15 18 5 8
HiC_scaffold_15 12372393 15 18 5 8
HiC_scaffold_15 12797816 15 18 5 8
HiC_scaffold_15 12798044 15 18 5 8
HiC_scaffold_15 12407128 15 18 5 8
HiC_scaffold_15 12276092 15 18 10 13
HiC_scaffold_15 12276092 15 18 10 13
HiC_scaffold_15 10197393 15 18 10 23
HiC_scaffold_15 8316672 15 18 13 13
HiC_scaffold_15 10420075 15 18 14 14
HiC_scaffold_15 11889441 15 18 13 14
HiC_scaffold_15 11617445 15 18 13 14
HiC_scaffold_15 10496346 15 18 14 14
HiC_scaffold_15 11078178 15 18 14 14
HiC_scaffold_15 11609163 15 18 13 14
HiC_scaffold_15 10496170 15 18 14 14
HiC_scaffold_15 10594202 15 18 14 14
HiC_scaffold_15 10630719 15 18 14 14
HiC_scaffold_15 10295631 15 18 14 14
HiC_scaffold_15 10462165 15 18 14 14
HiC_scaffold_15 10045278 15 18 14 14
HiC_scaffold_15 12033102 15 18 14 14
HiC_scaffold_15 9566861 15 18 15 17
HiC_scaffold_15 9428966 15 18 15 17
HiC_scaffold_15 9684547 15 18 15 19
HiC_scaffold_15 9684547 15 18 15 17
HiC_scaffold_15 8316672 15 18 15 17
HiC_scaffold_15 9542818 15 18 15 17
HiC_scaffold_15 8826592 15 18 15 17
HiC_scaffold_15 9428650 15 18 15 17
HiC_scaffold_15 8523774 15 18 15 17
HiC_scaffold_15 8523740 15 18 15 22
HiC_scaffold_15 8900821 15 18 17 22
HiC_scaffold_15 11239077 15 18 17 22
HiC_scaffold_15 5975491 15 18 22 23
HiC_scaffold_15 5185644 15 18 22 23
HiC_scaffold_15 5358485 15 18 22 25
HiC_scaffold_15 4217996 15 18 22 24
HiC_scaffold_15 4281248 15 18 24 24
HiC_scaffold_15 4281581 15 18 24 24
HiC_scaffold_15 5358485 15 18 22 24
HiC_scaffold_15 4314904 15 18 25 25
HiC_scaffold_15 3941004 15 18 25 26
HiC_scaffold_15 3873562 15 18 25 27
HiC_scaffold_15 3941199 15 18 25 26
HiC_scaffold_15 2719070 15 18 27 27
HiC_scaffold_15 2270537 15 18 27 28
HiC_scaffold_15 2270281 15 18 28 29
HiC_scaffold_15 2270076 15 18 28 29
HiC_scaffold_15 1794263 15 18 33 33
HiC_scaffold_15 249826 15 18 33 34
HiC_scaffold_15 1915960 15 18 33 34
HiC_scaffold_15 1794600 15 18 33 34
HiC_scaffold_15 40416 15 18 35 37
HiC_scaffold_15 849551 15 18 35 37
HiC_scaffold_15 849335 15 18 35 37
HiC_scaffold_15 200105 15 18 37 37
HiC_scaffold_15 40297 15 18 37 38
HiC_scaffold_9 15626127 9 19 0 0
HiC_scaffold_9 14396755 9 19 0 2
HiC_scaffold_9 16096464 9 19 0 0
HiC_scaffold_9 11689085 9 19 2 10
HiC_scaffold_9 14874474 9 19 0 12
HiC_scaffold_9 11170042 9 19 10 12
HiC_scaffold_9 12173763 9 19 12 20
HiC_scaffold_9 829532 9 19 20 23
HiC_scaffold_9 8367197 9 19 23 30
HiC_scaffold_9 3320575 9 19 30 33
HiC_scaffold_201 34987 9 19 33 38
HiC_scaffold_185 24612 9 19 38 40
HiC_scaffold_16 15396359 16 1 0 0
HiC_scaffold_16 15396359 16 1 0 0
HiC_scaffold_16 15396154 16 1 0 2
HiC_scaffold_16 15061234 16 1 0 3
HiC_scaffold_16 15165793 16 1 0 3
HiC_scaffold_16 14260699 16 1 1 3
HiC_scaffold_16 13773709 16 1 3 4
HiC_scaffold_16 13724245 16 1 3 4
HiC_scaffold_16 13724157 16 1 3 4
HiC_scaffold_16 12650843 16 1 11 15
HiC_scaffold_16 13311145 16 1 11 11
HiC_scaffold_16 13171269 16 1 13 13
HiC_scaffold_16 12705680 16 1 13 15
HiC_scaffold_16 13207534 16 1 13 15
HiC_scaffold_16 12705328 16 1 13 15
HiC_scaffold_16 12452023 16 1 13 15
HiC_scaffold_16 12650721 16 1 13 16
HiC_scaffold_16 11987154 16 1 13 16
HiC_scaffold_16 11780768 16 1 16 16
HiC_scaffold_16 12498008 16 1 13 16
HiC_scaffold_16 11780768 16 1 16 16
HiC_scaffold_16 11805969 16 1 16 16
HiC_scaffold_16 11609024 16 1 20 20
HiC_scaffold_16 11443877 16 1 20 21
HiC_scaffold_16 11638520 16 1 20 21
HiC_scaffold_16 11443877 16 1 20 21
HiC_scaffold_16 10914862 16 1 22 22
HiC_scaffold_16 10914862 16 1 20 22
HiC_scaffold_16 9487337 16 1 23 25
HiC_scaffold_16 8175807 16 1 23 28
HiC_scaffold_16 10594224 16 1 23 24
HiC_scaffold_16 10415024 16 1 23 24
HiC_scaffold_16 10736701 16 1 22 24
HiC_scaffold_16 10686547 16 1 23 24
HiC_scaffold_16 9760457 16 1 24 26
HiC_scaffold_16 9648610 16 1 24 25
HiC_scaffold_16 9409145 16 1 24 25
HiC_scaffold_16 9409450 16 1 24 25
HiC_scaffold_16 9872381 16 1 24 25
HiC_scaffold_16 9409450 16 1 24 25
HiC_scaffold_16 9487353 16 1 24 25
HiC_scaffold_16 8965104 16 1 26 26
HiC_scaffold_16 8551738 16 1 24 26
HiC_scaffold_16 8551197 16 1 26 29
HiC_scaffold_16 8747418 16 1 26 26
HiC_scaffold_16 9541183 16 1 24 25
HiC_scaffold_16 8304776 16 1 27 28
HiC_scaffold_16 8064332 16 1 27 28
HiC_scaffold_16 8541297 16 1 26 29
HiC_scaffold_16 6846692 16 1 29 30
HiC_scaffold_16 6324478 16 1 29 29
HiC_scaffold_16 7693660 16 1 29 31
HiC_scaffold_16 8163318 16 1 27 29
HiC_scaffold_16 7077305 16 1 30 30
HiC_scaffold_16 7961331 16 1 30 31
HiC_scaffold_16 7290466 16 1 29 34
HiC_scaffold_16 6206135 16 1 31 33
HiC_scaffold_16 5876103 16 1 31 33
HiC_scaffold_16 5274449 16 1 31 33
HiC_scaffold_16 5879928 16 1 31 32
HiC_scaffold_16 5219332 16 1 31 33
HiC_scaffold_16 5876300 16 1 33 33
HiC_scaffold_16 6197021 16 1 31 33
HiC_scaffold_16 5274784 16 1 31 33
HiC_scaffold_16 4667551 16 1 34 34
HiC_scaffold_16 4667432 16 1 34 34
HiC_scaffold_16 310295 16 1 42 42
HiC_scaffold_24 12269711 24 20 0 0
HiC_scaffold_24 12269711 24 20 0 0
HiC_scaffold_24 12269678 24 20 0 6
HiC_scaffold_24 11813779 24 20 2 2
HiC_scaffold_24 12466628 24 20 2 2
HiC_scaffold_24 12124250 24 20 2 2
HiC_scaffold_24 12466394 24 20 3 6
HiC_scaffold_24 12286508 24 20 2 6
HiC_scaffold_24 11611427 24 20 3 6
HiC_scaffold_24 11363880 24 20 7 7
HiC_scaffold_24 9489724 24 20 3 23
HiC_scaffold_24 11263027 24 20 7 7
HiC_scaffold_24 9769555 24 20 13 13
HiC_scaffold_24 9769232 24 20 13 13
HiC_scaffold_24 8879523 24 20 18 18
HiC_scaffold_24 8879701 24 20 18 18
HiC_scaffold_24 8553729 24 20 23 23
